Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
GovTech,Singapore, SG, Singapore,14/03/2024,H,Data Science,4 yrs,0 yrs,144.001,S$144 mil,N/A,N/A
HTX,Singapore, SG, Singapore,11/03/2024,XT6,-,2 yrs,2 yrs,101.700,S$81.6 mil,N/A,20.1 mil
ExpressVPN,Singapore, SG, Singapore,09/03/2024,IC5,Marketing,9 yrs,2 yrs,140.000,S$120 mil,N/A,20 mil
Dell Technologies,Singapore, SG, Singapore,06/03/2024,Data Scientist II,AI,5 yrs,2 yrs,80.000,S$80 mil,N/A,N/A
Gojek Tech,Singapore, SG, Singapore,29/02/2024,L4,Marketplace,14 yrs,3 yrs,152.560,S$144 mil,5.9 mil,2.7 mil
Grab,Singapore, SG, Singapore,28/02/2024,G4,Data Scientist,2 yrs,2 yrs,135.000,S$100 mil,20 mil,15 mil
Agency for Science,Singapore, SG, Singapore,24/02/2024,RTS 5b,AI Machine learning,8 yrs,6 yrs,121.000,S$121 mil,N/A,N/A
Micron Technology,Singapore, SG, Singapore,14/02/2024,E2S,MAI,2 yrs,2 yrs,74.750,S$66 mil,3.8 mil,5 mil
Agency for Science,Singapore, SG, Singapore,12/02/2024,hidden,-,2-4 yrs,2-4 yrs,150.000,S$132 mil,N/A,18 mil
GroupM,Singapore, SG, Singapore,09/02/2024,Mid Senior level,Data Science,4 yrs,2 yrs,99.000,S$99 mil,N/A,N/A
Aon,Singapore, SG, Singapore,09/02/2024,-,Data Science,8 yrs,2 yrs,102.000,S$95 mil,N/A,7 mil
ByteDance,Singapore, SG, Singapore,08/02/2024,2-1,Data Science,4 yrs,1 yr,146.000,S$109 mil,10 mil,27 mil
Bosch Global,Singapore, SG, Singapore,06/02/2024,EG14,AI,9 yrs,3 yrs,132.000,S$132 mil,N/A,N/A
BCG,Singapore, SG, Singapore,31/01/2024,L5,Spark,15 yrs,2 yrs,260.000,S$200 mil,N/A,60 mil
Point72,Singapore, SG, Singapore,31/01/2024,2,Data,4 yrs,4 yrs,198.000,S$180 mil,N/A,18 mil
Google,Singapore, SG, Singapore,31/01/2024,L3,Data,6 yrs,1 yr,100.000,S$100 mil,N/A,N/A
GovTech,Singapore, SG, Singapore,29/01/2024,--,4 yrs,3 yrs,150.000,S$150 mil,N/A,N/A
Lazada,Singapore, SG, Singapore,25/01/2024,hidden,hidden,5-10 yrs,0-1 yrs,206.001,S$156 mil,25 mil,25 mil
Nanyang Technological University,Singapore, SG, Singapore,23/01/2024,L1,Data,3 yrs,1 yr,66.000,S$66 mil,N/A,N/A
Lazada,Singapore, SG, Singapore,22/01/2024,Senior,P4,17 yrs,3 yrs,139.000,S$124 mil,N/A,15 mil
DBS Bank,Singapore, SG, Singapore,15/01/2024,AVP,AI,8 yrs,1 yr,134.000,S$114 mil,N/A,20 mil
Shopee,Singapore, SG, Singapore,09/01/2024,Junior,CV,1 yr,1 yr,100.000,S$100 mil,N/A,N/A
Delivery Hero,Singapore, SG, Singapore,31/12/2023,IC3,Product,8 yrs,2 yrs,179.175,S$135 mil,29.2 mil,15 mil
Fazz,Singapore, SG, Singapore,31/12/2023,L1,Payments,1 yr,1 yr,60.000,S$60 mil,N/A,N/A
Razer,Singapore, SG, Singapore,21/12/2023,-,NLP,6 yrs,1 yr,110.000,S$110 mil,N/A,N/A
Ai Palette,Singapore, SG, Singapore,09/12/2023,-,NLP,5 yrs,3 yrs,108.000,S$108 mil,N/A,N/A
Ministry of Home Affairs,Singapore, SG, Singapore,05/12/2023,14,Data,5 yrs,5 yrs,134.090,S$134.1 mil,N/A,N/A
ByteDance,Singapore, SG, Singapore,05/12/2023,2-2,Security,6 yrs,2 yrs,184.001,S$144 mil,10 mil,30 mil
